Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,53,Newton Correctional Facility,Prison,2021,2024,12/16/2016,04/24/2021,52,Released to Special Sentence,20388108,C Felony,Violent,Sex,false,,,,,,,,
White,Male,54,Newton Correctional Facility,Prison,2021,2024,06/20/2019,09/28/2020,15,Released to Special Sentence,20515032,Aggravated Misdemeanor,Other,Other Criminal,false,,,,,,,,
White,Male,67,Newton Correctional Facility,Prison,2021,2024,05/15/2000,02/25/2021,249,Parole Granted,105085,B Felony,Violent,Sex,false,,,,,,,,
Black,Male,41,Fort Dodge Correctional Facility,Work Release,2021,2024,09/29/2020,05/25/2021,7,Parole Granted,20290719,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,41,Newton Correctional Facility,Prison,2021,2024,04/10/2000,06/12/2021,254,Discharged - Expiration of Sentence,740725,B Felony,Violent,Sex,false,,,,,,,,
White,Male,45,Newton Correctional Facility,Work Release,2021,2024,01/15/2021,06/07/2021,4,Parole Granted,20478079,D Felony,Public Order,OWI,false,,,,,,,,
White,Female,22,Iowa Correctional Institution for Women,Prison,2021,2024,08/03/2020,08/12/2020,0,Discharged - Expiration of Sentence,20518497,Aggravated Misdemeanor,Property,Arson,false,,,,,,,,
White,Male,26,Newton Correctional Facility,Work Release,2021,2024,11/23/2020,02/23/2021,3,Parole Granted,20245672,C Felony,Violent,Robbery,false,,,,,,,,High
White,Male,20,Districts/Compact Regions,Prison,2021,2024,11/27/2019,10/24/2020,10,Discharged - Expiration of Sentence,20484516,Aggravated Misdemeanor,Property,Burglary,false,,,,,,,,
White,Male,55,Newton Correctional Facility,Prison,2021,2024,03/31/2020,10/03/2020,6,Paroled w/Immediate Discharge,20284257,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Male,64,Mount Pleasant Correctional Facility,Prison,2021,2024,04/02/2019,01/20/2021,21,Parole Granted,20325403,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,57,North Central Correctional Facility,Prison,2021,2024,11/26/2019,05/11/2021,17,Parole Granted,20479461,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Moderate
White,Male,60,Newton Correctional Facility,Prison,2021,2024,02/04/2016,01/19/2021,59,Released to Special Sentence,20349855,D Felony,Other,Other Criminal,false,,,,,,,,High
Hispanic,Male,57,Iowa Medical & Classification Center,Prison,2021,2024,10/30/2020,01/18/2021,2,Discharged - Expiration of Sentence,20383060,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,57,Clarinda Correctional Facility,Prison,2021,2024,10/01/2019,11/30/2020,13,Discharged - Expiration of Sentence,20360163,C Felony,Property,Arson,false,,,,,,,,Low
White,Male,60,Fort Dodge Correctional Facility,Work Release,2021,2024,09/25/2020,06/15/2021,8,Parole Granted,20455911,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,56,Clarinda Correctional Facility,Prison,2021,2024,12/02/2019,04/20/2021,16,Parole Granted,20242531,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,343,11.4,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,High
White,Female,51,Iowa Correctional Institution for Women,Prison,2021,2024,12/03/2019,09/15/2020,9,Parole Granted,20092172,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Female,62,Iowa Correctional Institution for Women,Prison,2021,2024,11/09/2016,11/11/2020,48,Parole Granted,20374508,C Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Male,58,Newton Correctional Facility,Prison,2021,2024,02/04/2016,03/24/2021,61,Parole Granted,20337787,C Felony,Violent,Sex,false,,,,,,,,
White,Male,52,Iowa Medical & Classification Center,Prison,2021,2024,06/15/2020,06/24/2021,12,Paroled w/Immediate Discharge,20489462,D Felony,Public Order,OWI,true,New Charge,693,23.1,321J.2(2)(c),D Felony,Public Order,OWI,Moderate
White,Male,64,Newton Correctional Facility,Prison,2021,2024,06/25/2019,10/26/2020,16,Parole Granted,20479191,D Felony,Violent,Sex,false,,,,,,,,
White,Male,59,Newton Correctional Facility,Work Release,2021,2024,02/21/2020,07/02/2020,4,Parole Granted,20486717,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Female,55,Iowa Correctional Institution for Women,Work Release,2021,2024,03/11/2021,06/17/2021,3,Parole Granted,20545963,D Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,57,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/04/2020,12/29/2020,3,Parole Granted,20506885,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,52,Mount Pleasant Correctional Facility,Work Release,2021,2024,08/31/2020,12/08/2020,3,Parole Granted,20166199,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,318,10.6,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,53,Iowa Medical & Classification Center,Prison,2021,2024,11/15/2019,01/22/2021,14,Parole Granted,20103182,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,New Charge,1062,35.4,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Low
Black,Male,63,Newton Correctional Facility,Prison,2021,2024,08/07/2019,10/06/2020,13,Parole Granted,20436256,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,57,Newton Correctional Facility,Prison,2021,2024,05/13/2019,08/24/2020,15,Parole Granted,20509584,D Felony,Violent,Assault,false,,,,,,,,Low
White,Female,55,Iowa Correctional Institution for Women,Prison,2021,2024,03/13/2020,05/03/2021,13,Discharged - Expiration of Sentence,619038,D Felony,Property,Forgery/Fraud,false,,,,,,,,Moderate
Black,Male,64,Iowa Medical & Classification Center,Prison,2021,2024,07/14/2020,05/08/2021,9,Discharged - Expiration of Sentence,20469902,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Male,51,North Central Correctional Facility,Work Release,2021,2024,06/03/2020,08/10/2020,2,Parole Granted,20491174,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
White,Male,57,North Central Correctional Facility,Prison,2021,2024,02/04/2020,04/08/2021,14,Parole Granted,20520376,C Felony,Property,Theft,false,,,,,,,,High
White,Female,58,Iowa Correctional Institution for Women,Work Release,2021,2024,06/24/2020,11/16/2020,4,Parole Granted,20243106,B Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Male,53,Mount Pleasant Correctional Facility,Prison,2021,2024,06/02/2020,12/29/2020,6,Parole Granted,20223010,D Felony,Property,Burglary,true,Tech,220,7.3,713.6A,D Felony,Property,Burglary,Moderate
White,Male,52,Iowa Medical & Classification Center,Prison,2021,2024,10/13/2014,08/04/2020,69,Parole Granted,20280797,B Felony,Violent,Murder/Manslaughter,false,,,,,,,,High
White,Male,63,Mount Pleasant Correctional Facility,Prison,2021,2024,01/30/2020,09/29/2020,7,Parole Granted,20362500,D Felony,Violent,Other Violent,false,,,,,,,,Low
White,Male,51,Mount Pleasant Correctional Facility,Prison,2021,2024,07/23/2019,10/16/2020,14,Parole Granted,889792,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,High
White,Male,60,Iowa Medical & Classification Center,Prison,2021,2024,08/31/2020,10/23/2020,1,Discharged - Expiration of Sentence,20471980,D Felony,Public Order,OWI,false,,,,,,,,Low
Black,Male,60,Newton Correctional Facility,Prison,2021,2024,09/16/2020,04/15/2021,6,Parole Granted,20568969,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,Low
White,Male,52,Newton Correctional Facility,Prison,2021,2024,11/12/2019,07/26/2020,8,Discharged - Expiration of Sentence,20410719,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,Low
